asd,dsa
-10,858
-6,433
-37,492
-2,993
13,436
17,488
39,328
-2,208
-35,669
-6,221
4,331
15,667
31,348
30,230
19,335
2,790
19,720
-39,421
-47,236
37,797
-48,435
-40,931
14,207
24,314
27,411
6,502
-43,834
32,798
-8,726
14,381
-7,681
18,805
-41,875
-33,960
2,768
32,308
-1,541
47,978
13,799
0,668
-10,713
1,657
11,952
-29,246
-37,676
-34,642
7,245
3,550
38,607
18,759
38,220
40,249
30,293
-33,458
-3,204
-2,905
-34,505
25,353
-1,991
13,405
7,571
8,458
-10,328
-21,331
27,961
25,285
-19,852
37,257
37,959
45,607
-27,715
17,693
-38,897
39,347
-49,301
-39,529
25,526
38,584
-24,278
26,522
-33,484
40,360
24,604
-19,478
4,544
-49,644
-14,238
14,820
-37,885
-12,658
49,692
7,669
-11,913
-26,529
48,883
17,535
-2,253
43,970
26,616
-17,773
